country,threat_robot,threat_ai,threat_platform,threat_skills,threat_foreign,threat_offshored,opp_worklife,opp_physical,opp_mental,iso3,epl,socx,ud,ud_year,ud_data_old
NA,My job will be replaced by a robot,My job will be taken over by an artificial intelligence (AI) tool like ChatGPT,My job will be replaced by a person providing a similar service on an internet platform,I will lose my job because I am not good enough with new technology or because I will be replaced by someone with better technological skills,My job will be taken over by a person coming from another country,My job will be moved to a different country,Technology will help my job and working hours become more compatible with my private life (↗),Technology will help my job become less dangerous or physically demanding,"Technology will help my job become less boring, repetitive, stressful or mentally demanding",NA,NA,NA,NA,NA,NA
France,27.575736999511719,30.185638427734375,31.640108108520508,28.482255935668945,34.256881713867188,27.786632537841797,47.558429718017578,40.246028900146484,44.001869201660156,FRA,2.675937176,31.363,8.1,2018,FALSE
Switzerland,29.320302963256836,28.381237030029297,31.160221099853516,25.964132308959961,40.058761596679688,26.868463516235352,48.474441528320313,37.157993316650391,41.886707305908203,CHE,1.606973529,15.46,12.7,2023,FALSE
Slovenia,22.743078231811523,27.205949783325195,25.824661254882813,23.678291320800781,29.410127639770508,25.967794418334961,48.514488220214844,37.6322021484375,39.423576354980469,SVN,2.322109699,23.934,NA,NA,NA
Denmark,22.498798370361328,24.782197952270508,23.397275924682617,22.263540267944336,27.179111480712891,21.17176628112793,48.724117279052734,32.245433807373047,40.668914794921875,DNK,1.937693,25.475,60.4,2024,FALSE
Austria,18.63287353515625,21.373241424560547,22.562877655029297,19.305858612060547,25.297641754150391,18.32774543762207,48.8575439453125,29.981700897216797,42.432838439941406,AUT,1.800630689,30.015,20.2,2024,FALSE
Lithuania,22.009283065795898,24.442193984985352,26.455516815185547,26.407272338867188,28.90406608581543,21.232549667358398,49.763496398925781,38.123291015625,38.671253204345703,LTU,2.243927956,17.444,8.3,2022,FALSE
Germany,28.267839431762695,30.514308929443359,31.938873291015625,30.001920700073242,35.370090484619141,27.617841720581055,49.824981689453125,38.581153869628906,43.616672515869141,DEU,2.332411051,27.718,14.1,2024,FALSE
Portugal,23.14769172668457,24.389347076416016,25.725324630737305,22.877052307128906,37.076148986816406,19.088718414306641,50.829593658447266,45.229759216308594,53.558826446533203,PRT,2.871757984,24.068,13.9,2020,FALSE
Finland,24.473533630371094,24.684764862060547,26.051338195800781,24.647878646850586,29.585182189941406,22.761930465698242,51.147125244140625,40.450546264648438,43.730270385742188,FIN,2.47975111,29.623,51.4,2024,FALSE
Norway,26.567470550537109,27.385614395141602,29.212198257446289,24.268108367919922,30.965923309326172,24.315036773681641,51.279373168945313,44.631240844726563,50.407169342041016,NOR,2.373485327,18.545,52.1,2024,FALSE
Ireland,24.903633117675781,27.182733535766602,25.346309661865234,21.264900207519531,32.549530029296875,24.898077011108398,52.160076141357422,39.180915832519531,50.852748870849609,IRL,2.134929419,12.068,20.2,2024,FALSE
Belgium,24.042881011962891,24.169855117797852,24.194211959838867,22.550100326538086,27.566980361938477,22.046253204345703,54.067432403564453,38.120059967041016,52.326828002929688,BEL,2.709881306,27.833,47.5,2023,FALSE
Poland,35.616672515869141,35.262691497802734,38.610401153564453,31.594181060791016,41.120018005371094,31.335807800292969,54.935626983642578,53.798892974853516,47.674724578857422,POL,2.385318041,20.72,9.4,2022,FALSE
Spain,32.994773864746094,35.655990600585938,36.225376129150391,30.561237335205078,50.864017486572266,31.407526016235352,56.802268981933594,53.405117034912109,56.804092407226563,ESP,2.430514097,25.965,12.5,2023,FALSE
United Kingdom,29.256210327148438,34.412094116210938,34.564716339111328,28.369525909423828,31.966085433959961,29.382043838500977,57.133831024169922,48.550559997558594,53.344772338867188,GBR,1.901723742,22.747,21.7,2022,FALSE
Latvia,33.425178527832031,33.390865325927734,36.772529602050781,39.894603729248047,42.940155029296875,30.062566757202148,57.259132385253906,49.028045654296875,54.607997894287109,LVA,2.708120823,20.505,10.3,2021,FALSE
Estonia,19.9365234375,20.949577331542969,22.199758529663086,24.253057479858398,31.355184555053711,19.986629486083984,57.751678466796875,53.895938873291016,55.686477661132813,EST,1.934222698,17.361,4.1,2023,FALSE
Italy,36.677444458007813,40.319522857666016,37.799991607666016,31.357128143310547,43.879741668701172,32.350803375244141,59.653984069824219,53.946483612060547,58.811347961425781,ITA,2.855566263,28.245,30.2,2024,FALSE
Netherlands,33.143283843994141,32.848052978515625,36.382823944091797,34.015098571777344,36.393489837646484,32.95440673828125,59.926982879638672,50.783786773681641,55.117664337158203,NLD,2.880872488,17.709,13.8,2023,FALSE
Canada,35.701210021972656,37.212631225585938,38.416130065917969,34.245437622070313,42.487655639648438,31.147649765014648,60.958267211914063,47.810672760009766,57.970508575439453,CAN,1.675306797,19.331,29.9,2019,FALSE
Greece,40.385505676269531,41.458103179931641,43.614601135253906,40.624710083007813,43.809295654296875,34.686534881591797,62.266918182373047,68.482612609863281,65.46331787109375,GRC,2.543981552,24.447,13.4,2020,FALSE
Chile,32.394744873046875,37.754188537597656,39.874984741210938,33.954612731933594,56.697948455810547,27.878019332885742,64.443222045898438,58.615116119384766,59.593006134033203,CHL,2.341765881,12.313,16,2023,FALSE
Israel,19.610513687133789,27.363210678100586,27.530000686645508,27.616985321044922,17.871885299682617,16.611093521118164,65.533348083496094,41.207077026367188,56.390338897705078,ISR,2.832093239,15.608,56.2,1995,TRUE
Türkiye,48.887813568115234,54.132770538330078,47.291149139404297,48.068153381347656,48.461734771728516,42.416366577148438,66.022834777832031,68.505287170410156,65.0367431640625,TUR,2.949660778,8.435,10.9,2024,FALSE
Mexico,36.402473449707031,37.580661773681641,47.874813079833984,36.108722686767578,41.686939239501953,34.882640838623047,66.228363037109375,59.043109893798828,64.008255004882813,MEX,2.464817286,9.658,14.2,2010,TRUE
United States,44.232887268066406,46.553565979003906,47.454330444335938,44.362926483154297,44.875202178955078,42.075302124023438,67.56829833984375,60.758029937744141,64.582290649414063,USA,1.310865164,18.98,22.1,1980,TRUE
Korea,44.948661804199219,48.189182281494141,49.439292907714844,48.399898529052734,41.375698089599609,35.667900085449219,71.575538635253906,75.271156311035156,74.976737976074219,KOR,2.350233793,16.235,12.5,2023,FALSE
